run_date,city_code,date,temp_max,temp_min,precip_mm,temp_avg,temp_range
2025-10-31,BUE,2025-04-30,21.5,13.0,0.0,17.25,8.5
2025-10-31,BUE,2025-05-01,19.5,14.8,0.0,17.15,4.699999999999999
2025-10-31,BUE,2025-05-02,22.9,15.1,0.0,19.0,7.799999999999999
2025-10-31,BUE,2025-05-03,22.6,13.5,0.0,18.05,9.100000000000001
2025-10-31,BUE,2025-05-04,24.5,17.0,1.8,20.75,7.5
2025-10-31,BUE,2025-05-05,19.4,15.0,20.6,17.2,4.399999999999999
2025-10-31,BUE,2025-05-06,21.7,17.1,8.3,19.4,4.599999999999998
2025-10-31,BUE,2025-05-07,21.8,17.4,39.9,19.6,4.400000000000002
2025-10-31,BUE,2025-05-08,21.3,17.3,2.4,19.3,4.0
2025-10-31,BUE,2025-05-09,20.4,12.7,0.0,16.549999999999997,7.699999999999999
2025-10-31,BUE,2025-05-10,19.7,14.1,0.0,16.9,5.6
2025-10-31,BUE,2025-05-11,18.2,13.8,0.0,16.0,4.399999999999999
2025-10-31,BUE,2025-05-12,18.7,13.6,0.0,16.15,5.1
2025-10-31,BUE,2025-05-13,20.1,14.9,0.0,17.5,5.200000000000001
2025-10-31,BUE,2025-05-14,22.1,15.8,0.0,18.950000000000003,6.300000000000001
2025-10-31,BUE,2025-05-15,23.3,18.8,0.1,21.05,4.5
2025-10-31,BUE,2025-05-16,22.1,18.9,59.2,20.5,3.200000000000003
2025-10-31,BUE,2025-05-17,22.3,17.5,21.4,19.9,4.800000000000001
2025-10-31,BUE,2025-05-18,20.9,12.7,14.0,16.799999999999997,8.2
2025-10-31,BUE,2025-05-19,14.3,9.1,0.6,11.7,5.200000000000001
2025-10-31,BUE,2025-05-20,16.2,7.3,0.0,11.75,8.899999999999999
2025-10-31,BUE,2025-05-21,14.3,8.7,0.0,11.5,5.600000000000001
2025-10-31,BUE,2025-05-22,14.5,7.6,0.0,11.05,6.9
2025-10-31,BUE,2025-05-23,15.0,10.8,0.0,12.9,4.199999999999999
2025-10-31,BUE,2025-05-24,16.3,12.9,0.3,14.600000000000001,3.4000000000000004
2025-10-31,BUE,2025-05-25,17.4,11.8,0.4,14.6,5.599999999999998
2025-10-31,BUE,2025-05-26,19.1,15.5,4.5,17.3,3.6000000000000014
2025-10-31,BUE,2025-05-27,19.2,12.6,25.6,15.899999999999999,6.6
2025-10-31,BUE,2025-05-28,12.9,7.3,0.0,10.1,5.6000000000000005
2025-10-31,BUE,2025-05-29,11.5,4.3,0.0,7.9,7.2
2025-10-31,BUE,2025-05-30,13.3,5.3,0.0,9.3,8.0
2025-10-31,BUE,2025-05-31,16.0,6.2,0.0,11.1,9.8
2025-10-31,BUE,2025-06-01,14.6,4.5,0.0,9.55,10.1
2025-10-31,BUE,2025-06-02,15.8,7.2,0.0,11.5,8.600000000000001
2025-10-31,BUE,2025-06-03,15.0,7.9,0.0,11.45,7.1
2025-10-31,BUE,2025-06-04,18.0,10.1,0.0,14.05,7.9
2025-10-31,BUE,2025-06-05,15.2,7.3,0.0,11.25,7.8999999999999995
2025-10-31,BUE,2025-06-06,16.9,6.7,0.0,11.799999999999999,10.2
2025-10-31,BUE,2025-06-07,15.8,7.9,0.0,11.850000000000001,7.9
2025-10-31,BUE,2025-06-08,14.0,7.8,0.0,10.9,6.2
2025-10-31,BUE,2025-06-09,11.5,6.1,0.0,8.8,5.4
2025-10-31,BUE,2025-06-10,13.4,5.0,0.0,9.2,8.4
2025-10-31,BUE,2025-06-11,13.6,9.5,0.0,11.55,4.1
2025-10-31,BUE,2025-06-12,15.4,9.7,0.0,12.55,5.700000000000001
2025-10-31,BUE,2025-06-13,13.5,11.9,10.7,12.7,1.5999999999999996
2025-10-31,BUE,2025-06-14,12.6,10.6,14.8,11.6,2.0
2025-10-31,BUE,2025-06-15,13.0,4.3,0.0,8.65,8.7
2025-10-31,BUE,2025-06-16,13.7,8.9,1.5,11.3,4.799999999999999
2025-10-31,BUE,2025-06-17,14.9,10.0,0.6,12.45,4.9
2025-10-31,BUE,2025-06-18,15.2,5.3,0.0,10.25,9.899999999999999
2025-10-31,BUE,2025-06-19,14.6,6.0,0.0,10.3,8.6
2025-10-31,BUE,2025-06-20,16.1,7.0,0.0,11.55,9.100000000000001
2025-10-31,BUE,2025-06-21,14.3,7.5,0.0,10.9,6.800000000000001
2025-10-31,BUE,2025-06-22,15.1,8.5,0.9,11.8,6.6
2025-10-31,BUE,2025-06-23,9.2,3.2,2.3,6.199999999999999,5.999999999999999
2025-10-31,BUE,2025-06-24,12.7,2.2,0.0,7.449999999999999,10.5
2025-10-31,BUE,2025-06-25,13.5,6.5,0.0,10.0,7.0
2025-10-31,BUE,2025-06-26,12.6,3.5,0.0,8.05,9.1
